Details,Accession,Release_Date,Species,Genus,Family,Length,Nuc._Completeness,Genotype,Genome_Region,Segment,Country,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
"",MT019529,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29899,complete,,,,China,Homo sapiens,lung,2019-12-23,,"Severe acute respiratory syndrome coronavirus 2 isolate BetaCoV/Wuhan/IPBCAMS-WH-01/2019, complete genome"
"",MN988669,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29881,complete,,,,China,Homo sapiens,,2020-01-02,,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV WHU02, complete genome"
"",MT039887,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29879,complete,,,,USA,Homo sapiens,oronasopharynx,2020-01-31,,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-WI1/2020, complete genome"
"",MN938387,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,107,,,,,China,Homo sapiens,oronasopharynx,2020-01,,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV_HKU-SZ-001_2020 surface glycoprotein (S) gene, partial cds"
"",MN975268,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,107,,,,,China,Homo sapiens,"lung, oronasopharynx",2020-01,,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV_HKU-SZ-007c_2020 surface glycoprotein (S) gene, partial cds"
"",MN975262,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29891,complete,,,,China,Homo sapiens,"lung, oronasopharynx",2020-01-11,,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV_HKU-SZ-005b_2020, complete genome"
"",MN988713,2020-01-25T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29882,complete,,,,USA,Homo sapiens,"lung, oronasopharynx",2020-01-21,,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-IL1/2020, complete genome"
"",MN996528,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29891,complete,,,,China,Homo sapiens,lung,2019-12-30,,"Severe acute respiratory syndrome coronavirus 2 isolate WIV04, complete genome"
"",LC522974,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29878,,,,,Japan,Homo sapiens,,2020-01,,"Wuhan seafood market pneumonia virus 2019-nCoV/Japan/TY/WK-501/2020 RNA, complete genome"
"",MN996529,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29852,complete,,,,China,Homo sapiens,lung,2019-12-30,,"Severe acute respiratory syndrome coronavirus 2 isolate WIV05, complete genome"
"",MN996530,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29854,complete,,,,China,Homo sapiens,lung,2019-12-30,,"Severe acute respiratory syndrome coronavirus 2 isolate WIV06, complete genome"
"",MN997409,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29882,complete,,,,USA,Homo sapiens,feces,2020-01-22,,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-AZ1/2020, complete genome"
"",MT019533,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29883,complete,,,,China,Homo sapiens,lung,2020-01-01,,"Severe acute respiratory syndrome coronavirus 2 isolate BetaCoV/Wuhan/IPBCAMS-WH-05/2020, complete genome"
"",MT007544,2020-01-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29893,complete,,,,Australia,Homo sapiens,,2020-01-25,,"Severe acute respiratory syndrome coronavirus 2 isolate Australia/VIC01/2020, complete genome"
"",MN996531,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29857,complete,,,,China,Homo sapiens,lung,2019-12-30,,"Severe acute respiratory syndrome coronavirus 2 isolate WIV07, complete genome"
"",MN938388,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,107,,,,,China,Homo sapiens,blood,2020-01,,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV_HKU-SZ-002b_2020 surface glycoprotein (S) gene, partial cds"
"",MN938390,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,107,,,,,China,Homo sapiens,oronasopharynx,2020-01,,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV_HKU-SZ-005_2020 surface glycoprotein (S) gene, partial cds"
"",LC521925,2020-02-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29848,,,,,Japan,Homo sapiens,,2020-01,,"Wuhan seafood market pneumonia virus 2019-nCoV/Japan/AI/I-004/2020 RNA, complete genome"
"",LR757996,2020-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29868,,,,,,,,,SAMEA6507892,"Wuhan seafood market pneumonia virus genome assembly, chromosome: whole_genome"
"",NC_045512,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29903,"refseq, complete",,,,China,Homo sapiens,,2019-12,,"Wuhan seafood market pneumonia virus isolate Wuhan-Hu-1, complete genome"
"",MT039873,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29833,complete,,,,China,Homo sapiens,"lung, oronasopharynx",2020-01-20,,"Severe acute respiratory syndrome coronavirus 2 isolate HZ-1, complete genome"
"",LC522975,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29878,,,,,Japan,Homo sapiens,,2020-01,,"Wuhan seafood market pneumonia virus 2019-nCoV/Japan/TY/WK-521/2020 RNA, complete genome"
"",MT019532,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29890,complete,,,,China,Homo sapiens,lung,2019-12-30,,"Severe acute respiratory syndrome coronavirus 2 isolate BetaCoV/Wuhan/IPBCAMS-WH-04/2019, complete genome"
"",MN975264,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,287,,,,,China,Homo sapiens,oronasopharynx,2020-01,,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV_HKU-SZ-007b_2020 ORF1ab polyprotein, RdRp region, (orf1ab) gene, partial cds"
"",MN975267,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,107,,,,,China,Homo sapiens,oronasopharynx,2020-01,,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV_HKU-SZ-007b_2020 surface glycoprotein (S) gene, partial cds"
"",MN985325,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29882,complete,,,,USA,Homo sapiens,oronasopharynx,2020-01-19,,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-WA1/2020, complete genome"
"",MN975263,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,287,,,,,China,Homo sapiens,oronasopharynx,2020-01,,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV_HKU-SZ-007a_2020 ORF1ab polyprotein, RdRp region, (orf1ab) gene, partial cds"
"",MN996527,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29825,complete,,,,China,Homo sapiens,lung,2019-12-30,,"Severe acute respiratory syndrome coronavirus 2 isolate WIV02, complete genome"
"",MN970003,2020-01-23T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,290,,,,,Thailand,Homo sapiens,"lung, oronasopharynx",2020-01-08,,"Severe acute respiratory syndrome coronavirus 2 isolate SI200040-SP orf1ab polyprotein, RdRP region, (orf1ab) gene, partial cds"
"",MN970004,2020-01-23T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,290,,,,,Thailand,Homo sapiens,"lung, oronasopharynx",2020-01-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SI200121-SP orf1ab polyprotein, RdRP region, (orf1ab) gene, partial cds"
"",MN988668,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29881,complete,,,,China,Homo sapiens,,2020-01-02,,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV WHU01, complete genome"
"",MT027063,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29882,complete,,,,USA,Homo sapiens,oronasopharynx,2020-01-29,,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CA4/2020, complete genome"
"",LC522350,2020-02-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,182,,,,,Philippines,Homo sapiens,,2020-01-26,,"Wuhan seafood market pneumonia virus 2019-nCoV_PH_nCOV_20_026 orf1ab gene for orf1ab polyprotein, partial cds"
"",MT027064,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29882,,,,,USA,Homo sapiens,oronasopharynx,2020-01-29,,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CA5/2020, complete genome"
"",MT027062,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29882,complete,,,,USA,Homo sapiens,oronasopharynx,2020-01-29,,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CA3/2020, complete genome"
